National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
CCD public school data 2019-2020 school year,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (525) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
[ ] indicates that the data are not applicable.,,,,,,,,,,,,,,,,,,,,,,,,,
[ ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Washington""-County: ""king county""-School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
530771001127,WA-17001-2138,5307710,WA-17001,KG,05,Adams Elementary School,Seattle School District No. 1,King County,6110 28 AV NW,SEATTLE,WA,98107,5314,(206)252-1300,11,City: Large,No,No,No,†,498.00000,30.07000,16.6000000,44.00000,11.00000
530282000430,WA-17210-3519,5302820,WA-17210,PK,05,Adelaide Elementary School,Federal Way School District,King County,1635 SW 304th ST,Federal Way,WA,98023,3431,(253)945-2300,21,Suburb: Large,No,No,Yes,Yes,402.00000,25.01000,16.1000000,208.00000,50.00000
530771001249,WA-17001-3774,5307710,WA-17001,06,08,Aki Kurose Middle School,Seattle School District No. 1,King County,3928 S GRAHAM ST,Seattle,WA,98118,3172,(206)252-7700,11,City: Large,No,No,Yes,Yes,657.00000,41.68000,15.8000000,370.00000,102.00000
530792001297,WA-17412-3674,5307920,WA-17412,07,08,Albert Einstein Middle School,Shoreline School District,King County,19343 3rd Avenue N.W.,Shoreline,WA,98177,3012,(206)393-4730,21,Suburb: Large,No,No,No,†,713.00000,35.39000,20.1000000,136.00000,52.00000
530423002062,WA-17414-4256,5304230,WA-17414,KG,05,Alcott Elementary,Lake Washington School District,King County,4213 - 228th AVE NE,Redmond,WA,98053,8333,(425)936-2490,21,Suburb: Large,No,No,No,†,715.00000,40.13000,17.8000000,16.00000,5.00000
530771001129,WA-17001-2181,5307710,WA-17001,PK,05,Alki Elementary School,Seattle School District No. 1,King County,3010 59 AV SW,SEATTLE,WA,98116,2820,(206)252-9050,11,City: Large,No,No,No,†,359.00000,20.22000,17.8000000,26.00000,10.00000
530030000029,WA-17408-3825,5300300,WA-17408,PK,05,Alpac Elementary School,Auburn School District,King County,310 MILWAUKEE BLVD N,PACIFIC,WA,98047,1122,(253)931-4976,21,Suburb: Large,No,No,Yes,Yes,687.00000,39.40000,17.4000000,263.00000,126.00000
530375000570,WA-17411-3746,5303750,WA-17411,PK,05,Apollo Elementary,Issaquah School District,King County,15025 SE 117TH ST,RENTON,WA,98059,6017,(425)837-7500,21,Suburb: Large,No,No,Yes,No,613.00000,43.67000,14.0000000,61.00000,26.00000
530771001135,WA-17001-2730,5307710,WA-17001,PK,05,Arbor Heights Elementary School,Seattle School District No. 1,King County,3701 SW 104th Street,SEATTLE,WA,98146,,(206)252-9250,11,City: Large,No,No,No,†,593.00000,36.33000,16.3000000,93.00000,22.00000
530039000058,WA-17405-3633,5300390,WA-17405,PK,05,Ardmore Elementary School,Bellevue School District,King County,16616 NE 32nd St.,Bellevue,WA,98008,2006,(425)456-4700,12,City: Midsize,No,No,Yes,Yes,455.00000,36.47000,12.5000000,152.00000,34.00000
530591000875,WA-17417-3107,5305910,WA-17417,PK,05,Arrowhead Elementary,Northshore School District,King County,6725 NE Arrowhead DR,Kenmore,WA,98028,4343,(425)408-4000,21,Suburb: Large,No,No,No,†,406.00000,25.80000,15.7000000,29.00000,10.00000
530030003174,WA-17408-5082,5300300,WA-17408,PK,05,Arthur Jacobsen Elementary,Auburn School District,King County,29205 132ND AVE SE,Auburn,WA,98092,2142,(253)630-2441,12,City: Midsize,No,No,Yes,Yes,590.00000,34.10000,17.3000000,201.00000,87.00000
530034603713,WA-17915-5602,5300346,WA-17915,KG,08,Ashe Preparatory Academy,Ashe Preparatory Academy,King County,19300 108th Ave SE,Kent,WA,98031,,(206)931-0964,12,City: Midsize,Yes,No,–,–,89.00000,3.42000,26.0000000,†,†
530030002978,WA-17408-5037,5300300,WA-17408,09,12,Auburn Mountainview High School,Auburn School District,King County,28900 124th AVE SE,Auburn,WA,98092,3101,(253)804-4539,13,City: Small,No,No,Yes,Yes,1645.00000,73.80000,22.3000000,569.00000,218.00000
